,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Acokanthera oppositifolia (Lam.) Codd,Acokanthera,oppositifolia (Lam.) Codd,,,,,,,,,,Apocynaceae,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,76349-1,Species,Manual
1,Acokanthera schimperi (A. DC.) Schweinf.,Acokanthera,schimperi (A. DC.) Schweinf.,,,,1.0,[68],,,1.0,67,Apocynaceae,Acokanthera schimperi,Acokanthera schimperi,60447729-2,60447729-2,Species,Manual
2,Adenium boehmianum Schinz,Adenium,boehmianum Schinz,,,,,,,,,,Apocynaceae,Adenium boehmianum,Adenium boehmianum,76360-1,76360-1,Species,Manual
3,Adenium multiflorum Klotzsch,Adenium,multiflorum Klotzsch,1.0,1.0,69,,,,,,,Apocynaceae,Adenium multiflorum,Adenium multiflorum,76366-1,76366-1,Species,Manual
4,Adenium obesum (Forssk.) Roem. & Schult.,Adenium,obesum (Forssk.) Roem. & Schult.,,,,,,,,0.0,91,Apocynaceae,Adenium obesum,Adenium obesum,76369-1,76369-1,Species,Manual
5,Aganosma cymosa (Roxb.) G. Don,Aganosma,cymosa (Roxb.) G. Don,1.0,,143,,,,,,,Apocynaceae,Aganosma cymosa,Aganosma cymosa,76388-1,76388-1,Species,Manual
6,Aganosma heynei (Spreng.) I. M. Turner,Aganosma,heynei (Spreng.) I. M. Turner,1.0,1.0,292,,,1.0,[79],,,Apocynaceae,Aganosma heynei,Aganosma heynei,77125846-1,77125846-1,Species,Manual
7,Alafia barteri Oliv.,Alafia,barteri Oliv.,1.0,1.0,71,1.0,"L, R [71]",,,1.0,71,Apocynaceae,Alafia barteri,Alafia barteri,76417-1,76417-1,Species,Manual
8,Alafia caudata Stapf,Alafia,caudata Stapf,1.0,1.0,72,,,,,,,Apocynaceae,Alafia caudata,Alafia caudata,76422-1,76422-1,Species,Manual
9,Alafia multiflora (Stapf) Stapf,Alafia,multiflora (Stapf) Stapf,1.0,1.0,72,,,,,,,Apocynaceae,Alafia multiflora,Alafia multiflora,76446-1,76446-1,Species,Manual
10,Alafia spp.,Alafia,spp.,,,,,,,,,,Apocynaceae,Alafia,,,2180-1,Genus,Manual
11,Allamanda cathartica L.,Allamanda,cathartica L.,1.0,1.0,48/280,1.0,"[79, 329]",,,,,Apocynaceae,Allamanda cathartica,Allamanda cathartica,319065-2,319065-2,Species,Manual
