,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Acokanthera oppositifolia (Lam.) Codd,Acokanthera,oppositifolia (Lam.) Codd,,,,,,,,,,Apocynaceae,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,76349-1,Species
1,Acokanthera schimperi (A. DC.) Schweinf.,Acokanthera,schimperi (A. DC.) Schweinf.,,,,Yes,[68],,,Active,67,Apocynaceae,Acokanthera schimperi,Acokanthera schimperi,60447729-2,60447729-2,Species
2,Adenium boehmianum Schinz,Adenium,boehmianum Schinz,,,,,,,,,,Apocynaceae,Adenium boehmianum,Adenium boehmianum,76360-1,76360-1,Species
3,Adenium multiflorum Klotzsch,Adenium,multiflorum Klotzsch,Yes,Yes,69,,,,,,,Apocynaceae,Adenium multiflorum,Adenium multiflorum,76366-1,76366-1,Species
4,Adenium obesum (Forssk.) Roem. & Schult.,Adenium,obesum (Forssk.) Roem. & Schult.,,,,,,,,Inactive,91,Apocynaceae,Adenium obesum,Adenium obesum,76369-1,76369-1,Species
5,Aganosma cymosa (Roxb.) G. Don,Aganosma,cymosa (Roxb.) G. Don,,,,,,,,,,Apocynaceae,Aganosma cymosa,Aganosma cymosa,76388-1,76388-1,Species
6,Aganosma heynei (Spreng.) I. M. Turner,Aganosma,heynei (Spreng.) I. M. Turner,Yes,Yes,292,,,Yes,[79],,,Apocynaceae,Aganosma heynei,Aganosma heynei,77125846-1,77125846-1,Species
7,Alafia barteri Oliv.,Alafia,barteri Oliv.,Yes,Yes,71,Yes,"L, R [71]",,,Active,71,Apocynaceae,Alafia barteri,Alafia barteri,76417-1,76417-1,Species
8,Alafia caudata Stapf,Alafia,caudata Stapf,Yes,Yes,72,,,,,,,Apocynaceae,Alafia caudata,Alafia caudata,76422-1,76422-1,Species
9,Alafia multiflora (Stapf) Stapf,Alafia,multiflora (Stapf) Stapf,Yes,Yes,72,,,,,,,Apocynaceae,Alafia multiflora,Alafia multiflora,76446-1,76446-1,Species
10,Alafia spp.,Alafia,spp.,,,,,,,,,,Apocynaceae,Alafia,,,2180-1,Genus
11,Allamanda cathartica L.,Allamanda,cathartica L.,Yes,Yes,48/280,Yes,"[79, 329]",,,,,Apocynaceae,Allamanda cathartica,Allamanda cathartica,319065-2,319065-2,Species
12,Allamanda schottii Pohl,Allamanda,schottii Pohl,Yes,Yes,50,,,,,,,Apocynaceae,Allamanda schottii,Allamanda schottii,76487-1,76487-1,Species
13,Alstonia angustifolia Wall. ex A. DC.,Alstonia,angustifolia Wall. ex A. DC.,Yes,Yes,109,,,,,Inactive,109,Apocynaceae,Alstonia angustifolia,Alstonia angustifolia,105718-3,105718-3,Species
14,Alstonia angustiloba Miq.,Alstonia,angustiloba Miq.,Yes,Yes,"KN, 90",,,,,Active,90,Apocynaceae,Alstonia angustiloba,Alstonia angustiloba,76507-1,76507-1,Species
15,Alstonia boonei De Wild.,Alstonia,boonei De Wild.,Yes,Yes,128,Yes,"SB, R, L [128] [322, 328]",,,Inactive,110/146,Apocynaceae,Alstonia boonei,Alstonia boonei,76511-1,76511-1,Species
16,Alstonia congensis Engl.,Alstonia,congensis Engl.,Yes,Yes,111,Yes,323,,,Active,111,Apocynaceae,Alstonia congensis,Alstonia congensis,76517-1,76517-1,Species
17,Alstonia constricta F. Muell.,Alstonia,constricta F. Muell.,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia constricta,Alstonia constricta,76518-1,76518-1,Species
18,Alstonia coriacea Pancher ex S. Moore,Alstonia,coriacea Pancher ex S. Moore,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia coriacea,Alstonia coriacea,76520-1,76520-1,Species
19,Alstonia deplanchei Van Heurck & Müll. Arg.,Alstonia,deplanchei Van Heurck & Müll. Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia deplanchei,Alstonia deplanchei,76527-1,76527-1,Species
20,Alstonia lanceolifera S. Moore,Alstonia,lanceolifera S. Moore,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia lanceolifera,Alstonia lanceolifera,76546-1,76546-1,Species
21,Alstonia legouixiae Van Heurck & Müll. Arg.,Alstonia,legouixiae Van Heurck & Müll. Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia legouixiae,Alstonia legouixiae,76548-1,76548-1,Species
22,Alstonia lenormandii Van Heurck & Müll.Arg.,Alstonia,lenormandii Van Heurck & Müll.Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia lenormandii,Alstonia lenormandii,76549-1,76549-1,Species
23,Alstonia longifolia (A. DC.) Pichon,Alstonia,longifolia (A. DC.) Pichon,Yes,Yes,38,Yes,329,,,,,Apocynaceae,Alstonia longifolia,Alstonia longifolia,10153-2,10153-2,Species
24,Alstonia macrophylla Wall. ex G. Don,Alstonia,macrophylla Wall. ex G. Don,Yes,Yes,108,,,,,Active,112,Apocynaceae,Alstonia macrophylla,Alstonia macrophylla,76556-1,76556-1,Species
25,Alstonia mairei H. Lév.,Alstonia,mairei H. Lév.,Yes,Yes,247,,,,,,,Apocynaceae,Alstonia mairei,Alstonia mairei,76557-1,76557-1,Species
26,Alstonia muelleriana Domin,Alstonia,muelleriana Domin,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia muelleriana,Alstonia muelleriana,76562-1,76562-1,Species
27,Alstonia odontophora Boiteau,Alstonia,odontophora Boiteau,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia odontophora,Alstonia odontophora,76565-1,76565-1,Species
28,Alstonia pneumatophora Backer ex Den berger,Alstonia,pneumatophora Backer ex Den berger,Yes,Yes,247,,,,,,,Apocynaceae,Alstonia pneumatophora,Alstonia pneumatophora,76578-1,76578-1,Species
29,Alstonia quaternata Van Heurck & Müll.Arg.,Alstonia,quaternata Van Heurck & Müll.Arg.,Yes,Yes,KN,,,,,,,Apocynaceae,Alstonia quaternata,Alstonia quaternata,76580-1,76580-1,Species
30,Alstonia rostrata C. E. C. Fisch.,Alstonia,rostrata C. E. C. Fisch.,Yes,Yes,201,,,,,,,Apocynaceae,Alstonia rostrata,Alstonia rostrata,76584-1,76584-1,Species
31,Alstonia rupestris Kerr,Alstonia,rupestris Kerr,Yes,Yes,108,,,,,,,Apocynaceae,Alstonia rupestris,Alstonia rupestris,76585-1,76585-1,Species
32,Alstonia scholaris (L.) R. Br.,Alstonia,scholaris (L.) R. Br.,Yes,Yes,"KN, 88",Yes,"[79, 327]",,,Inactive,88,Apocynaceae,Alstonia scholaris,Alstonia scholaris,60445977-2,60445977-2,Species
