,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
3,Adenium multiflorum Klotzsch,Adenium,multiflorum Klotzsch,1.0,1.0,69,,,,,,,Apocynaceae,Adenium multiflorum,Adenium multiflorum,76366-1,76366-1,Species,Manual
6,Aganosma heynei (Spreng.) I. M. Turner,Aganosma,heynei (Spreng.) I. M. Turner,1.0,1.0,292,,,1.0,[79],,,Apocynaceae,Aganosma heynei,Aganosma heynei,77125846-1,77125846-1,Species,Manual
7,Alafia barteri Oliv.,Alafia,barteri Oliv.,1.0,1.0,71,1.0,"L, R [71]",,,1.0,71,Apocynaceae,Alafia barteri,Alafia barteri,76417-1,76417-1,Species,Manual
8,Alafia caudata Stapf,Alafia,caudata Stapf,1.0,1.0,72,,,,,,,Apocynaceae,Alafia caudata,Alafia caudata,76422-1,76422-1,Species,Manual
9,Alafia multiflora (Stapf) Stapf,Alafia,multiflora (Stapf) Stapf,1.0,1.0,72,,,,,,,Apocynaceae,Alafia multiflora,Alafia multiflora,76446-1,76446-1,Species,Manual
11,Allamanda cathartica L.,Allamanda,cathartica L.,1.0,1.0,48/280,1.0,"[79, 329]",,,,,Apocynaceae,Allamanda cathartica,Allamanda cathartica,319065-2,319065-2,Species,Manual
12,Allamanda schottii Pohl,Allamanda,schottii Pohl,1.0,1.0,50,,,,,,,Apocynaceae,Allamanda schottii,Allamanda schottii,76487-1,76487-1,Species,Manual
13,Alstonia angustifolia Wall. ex A. DC.,Alstonia,angustifolia Wall. ex A. DC.,1.0,1.0,109,,,,,0.0,109,Apocynaceae,Alstonia angustifolia,Alstonia angustifolia,105718-3,105718-3,Species,Manual
14,Alstonia angustiloba Miq.,Alstonia,angustiloba Miq.,1.0,1.0,"KN, 90",,,,,1.0,90,Apocynaceae,Alstonia angustiloba,Alstonia angustiloba,76507-1,76507-1,Species,Manual
15,Alstonia boonei De Wild.,Alstonia,boonei De Wild.,1.0,1.0,128,1.0,"SB, R, L [128] [322, 328]",,,0.0,110/146,Apocynaceae,Alstonia boonei,Alstonia boonei,76511-1,76511-1,Species,Manual
16,Alstonia congensis Engl.,Alstonia,congensis Engl.,1.0,1.0,111,1.0,323,,,1.0,111,Apocynaceae,Alstonia congensis,Alstonia congensis,76517-1,76517-1,Species,Manual
17,Alstonia constricta F. Muell.,Alstonia,constricta F. Muell.,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia constricta,Alstonia constricta,76518-1,76518-1,Species,Manual
18,Alstonia coriacea Pancher ex S. Moore,Alstonia,coriacea Pancher ex S. Moore,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia coriacea,Alstonia coriacea,76520-1,76520-1,Species,Manual
19,Alstonia deplanchei Van Heurck & Müll. Arg.,Alstonia,deplanchei Van Heurck & Müll. Arg.,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia deplanchei,Alstonia deplanchei,76527-1,76527-1,Species,Manual
20,Alstonia lanceolifera S. Moore,Alstonia,lanceolifera S. Moore,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia lanceolifera,Alstonia lanceolifera,76546-1,76546-1,Species,Manual
21,Alstonia legouixiae Van Heurck & Müll. Arg.,Alstonia,legouixiae Van Heurck & Müll. Arg.,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia legouixiae,Alstonia legouixiae,76548-1,76548-1,Species,Manual
22,Alstonia lenormandii Van Heurck & Müll.Arg.,Alstonia,lenormandii Van Heurck & Müll.Arg.,1.0,1.0,KN,,,,,,,Apocynaceae,Alstonia lenormandii,Alstonia lenormandii,76549-1,76549-1,Species,Manual
23,Alstonia longifolia (A. DC.) Pichon,Alstonia,longifolia (A. DC.) Pichon,1.0,1.0,38,1.0,329,,,,,Apocynaceae,Alstonia longifolia,Alstonia longifolia,10153-2,10153-2,Species,Manual
24,Alstonia macrophylla Wall. ex G. Don,Alstonia,macrophylla Wall. ex G. Don,1.0,1.0,108,,,,,1.0,112,Apocynaceae,Alstonia macrophylla,Alstonia macrophylla,76556-1,76556-1,Species,Manual
25,Alstonia mairei H. Lév.,Alstonia,mairei H. Lév.,1.0,1.0,247,,,,,,,Apocynaceae,Alstonia mairei,Alstonia mairei,76557-1,76557-1,Species,Manual
