,Accepted_Name,Wikipedia_PageViews
0,Acokanthera laevigata,29.233333333333334
1,Acokanthera oblongifolia,114.42222222222222
2,Acokanthera oppositifolia,92.01176470588236
3,Acokanthera rotundata,37.15
4,Acokanthera schimperi,152.78333333333333
5,Adenium boehmianum,214.9
6,Adenium dhofarense,0.0
7,Adenium multiflorum,488.9
8,Adenium obesum,2555.482014388489
9,Adenium oleifolium,161.05
10,Adenium swazicum,179.58333333333334
11,Aganosma breviloba,0.0
12,Aganosma cymosa,51.06666666666667
13,Aganosma cymosa var. conferta,0.0
14,Aganosma cymosa var. cymosa,0.0
15,Aganosma cymosa var. elegans,0.0
16,Aganosma gracilis,0.0
17,Aganosma heynei,0.0
18,Aganosma lacei,0.0
19,Aganosma petelotii,0.0
20,Aganosma schlechteriana,0.0
21,Aganosma siamensis,0.0
22,Aganosma wallichii,0.0
23,Alafia alba,6.6440677966101696
24,Alafia barteri,34.31147540983606
25,Alafia benthamii,0.0
26,Alafia berrieri,0.0
27,Alafia calophylla,0.0
28,Alafia caudata,11.4
29,Alafia erythrophthalma,0.0
30,Alafia falcata,0.0
31,Alafia fuscata,0.0
32,Alafia insularis,0.0
33,Alafia intermedia,0.0
34,Alafia landolphioides,14.1
35,Alafia lucida,17.166666666666668
36,Alafia microstylis,0.0
37,Alafia multiflora,34.083333333333336
38,Alafia nigrescens,0.0
39,Alafia orientalis,18.95
40,Alafia parciflora,3.0833333333333335
41,Alafia pauciflora,0.0
42,Alafia perrieri,0.0
43,Alafia perrieri var. parvifolia,0.0
44,Alafia perrieri var. perrieri,0.0
45,Alafia schumannii,0.0
46,Alafia thouarsii,0.0
47,Alafia vallium,0.0
48,Alafia verschuerenii,0.0
49,Alafia whytei,0.0
50,Alafia zambesiaca,12.966666666666667
51,Allamanda angustifolia,39.11666666666667
52,Allamanda blanchetii,310.75690607734805
53,Allamanda calcicola,0.0
54,Allamanda cathartica,851.8052805280528
55,Allamanda doniana,0.0
56,Allamanda laevis,0.0
57,Allamanda martii,0.0
58,Allamanda nobilis,0.0
59,Allamanda oenotherifolia,0.0
60,Allamanda polyantha,31.616666666666667
61,Allamanda puberula,29.766666666666666
62,Allamanda schottii,244.57083333333333
63,Allamanda setulosa,0.0
64,Allamanda thevetifolia,0.0
65,Allamanda weberbaueri,0.0
66,Allomarkgrafia antioquiana,0.0
67,Allomarkgrafia brenesiana,0.0
68,Allomarkgrafia campanulata,0.0
69,Allomarkgrafia ecuatoriana,13.21311475409836
70,Allomarkgrafia foreroi,0.0
71,Allomarkgrafia insignis,0.0
72,Allomarkgrafia laxiflora,0.0
73,Allomarkgrafia ovalis,0.0
74,Allomarkgrafia plumeriiflora,4.6
75,Allomarkgrafia tubiflora,0.0
