,Accepted_ID,mean_air_temp,temp_seasonality,bio10,bio11,precip_amount,precip_seasonality,bio16,bio17,breakline_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,water_capacity,latitude,longitude,koppen_geiger_mode,koppen_geiger_all,fullname,Accepted_Name,Accepted_Rank,Accepted_Species,Accepted_Species_ID
0,100032-1,15.6330003738403,458.303985595703,21.2802505493164,9.32124996185303,1052.57397460938,74.2880020141602,506.442260742188,35.0382499694824,896.9833984375,921.739990234375,2.55871295928955,1908.84448242188,65.9375,233.8125,2614.5,56.0,19.9375,-31.390833,-64.507778,12,"[12, 11, 7, 14, 6, 15, 5, 3]",Oxypetalum coccineum,Oxypetalum coccineum,Species,Oxypetalum coccineum,100032-1
1,100040-1,21.002124786376953,400.894256591797,25.4992504119873,15.681874752044699,1498.54626464844,34.626749038696246,522.8318786621095,176.311492919922,157.2368392944335,162.477493286133,0.656209886074066,1869.59375,57.7395839691162,224.83332824707,2403.875,51.90625,21.65625,-27.902915,-57.7883335,14,"[14, 3, 12, 1, 11, 15, 7, 2, 6]",Oxypetalum crispum,Oxypetalum crispum,Species,Oxypetalum crispum,100040-1
2,100050-1,21.2952499389648,163.735496520996,22.566499710083,19.5394992828369,1604.53515625,77.7002487182617,764.343994140625,32.107250213623,1056.268676757815,1082.01123046875,1.98745572566986,1582.0396118164049,51.93095397949215,209.566665649414,2963.125,51.3846168518066,21.5,-16.8344445,-47.8416665,3,"[3, 15, 11, 14, 12, 1]",Oxypetalum erectum,Oxypetalum erectum,Species,Oxypetalum erectum,100050-1
3,100051-1,22.4915008544922,275.569488525391,25.9020004272461,18.5020008087158,1514.26574707031,45.0292510986328,581.022521972656,147.790756225586,236.72021484375,230.202499389648,0.777108430862427,1648.125,55.0625,205.0625,2442.25,42.4000015258789,20.375,-22.75722,-56.7,3,"[3, 14, 1, 11, 7, 2]",Oxypetalum erianthum,Oxypetalum erianthum,Species,Oxypetalum erianthum,100051-1
4,100055-1,19.693000793457,193.231994628906,21.7967491149902,16.9214992523193,1718.93505859375,85.5504989624023,827.249755859375,48.5922508239746,1016.81164550781,1035.63745117188,2.30790543556213,1805.22912597656,51.2291679382324,283.875,2453.25,54.625,23.0625,-20.083333,-43.68,11,"[11, 14, 12, 3, 15]",Oxypetalum foliosum,Oxypetalum foliosum,Species,Oxypetalum foliosum,100055-1
5,1000788-1,20.21099948883055,445.445251464844,25.701625823974602,13.634500026702899,739.667724609375,90.06262588500975,477.40461730957054,31.809000015258746,1045.91687011719,985.4300231933595,4.8161737918853795,1816.36462402344,68.7083358764648,169.83333587646501,148.75,37.96875,26.21875,27.2085,-108.7168335,6,"[6, 7, 3, 15, 11]",Metastelma mexicanum,Metastelma mexicanum,Species,Metastelma mexicanum,1000788-1
6,100097-1,21.5412502288818,386.277252197266,26.1695003509521,16.4624996185303,1699.36975097656,28.2954998016357,532.890991210938,255.251754760742,89.1412734985352,91.3225021362305,0.187201723456383,1855.8125,53.4791679382324,227.20832824707,2649.75,41.25,22.75,-27.48333,-56.666667,14,"[14, 2, 3, 15, 6, 7]",Oxypetalum macrolepis,Oxypetalum macrolepis,Species,Oxypetalum macrolepis,100097-1
7,100105-1,18.9115009307861,440.173736572266,24.8687496185303,13.0050001144409,1502.26928710938,25.6644992828369,459.622741699219,238.563995361328,112.08032989502,112.044998168945,0.434547871351242,2273.66674804688,55.0416679382324,253.041656494141,2127.25,59.7999992370605,23.8125,-30.763611,-56.183333,14,"[14, 3, 7]",Oxypetalum microphyllum,Oxypetalum microphyllum,Species,Oxypetalum microphyllum,100105-1
8,100111-1,19.6332492828369,177.248245239258,21.5092506408691,17.0102500915527,1420.48754882812,86.9287490844727,799.207763671875,34.2195014953613,1029.17175292969,1091.07995605469,3.47588348388672,1741.16662597656,51.3541679382324,255.70832824707,3216.75,53.75,21.5,-18.2531772779915,-43.539722,11,"[11, 12, 3, 15]",Oxypetalum montanum,Oxypetalum montanum,Species,Oxypetalum montanum,100111-1
9,100128-1,21.7430000305176,168.2539978027345,23.0739994049072,19.5247497558594,1573.89379882812,76.6427536010742,717.194610595703,32.107250213623,773.390563964844,844.3674926757815,1.25608861446381,1572.6041870117201,52.9285736083984,208.129165649414,2501.75,50.5892848968506,21.1875,-18.2444455,-47.915694,3,"[3, 14, 12, 11, 2]",Oxypetalum pachygynum,Oxypetalum pachygynum,Species,Oxypetalum pachygynum,100128-1
